Postcode,Latitude,Longitude
AB1,57.1269,-2.13644
AB2,57.1713,-2.14152
AB3,57.0876,-2.59624
AB4,57.5343,-2.12713
AB5,57.4652,-2.64764
AB9,57.1466,-2.1142
AB10,57.1349,-2.11739
AB11,57.1371,-2.09346
AB12,57.1034,-2.10978
AB13,57.1123,-2.24253
AB14,57.1034,-2.27294
AB15,57.1387,-2.1677
AB16,57.1594,-2.15659
AB21,57.2074,-2.20007
AB22,57.1866,-2.12007
AB23,57.208,-2.08973
AB24,57.1634,-2.10828
AB25,57.1536,-2.11441
AB30,56.8454,-2.47723
AB31,57.0669,-2.5047
AB32,57.1545,-2.31443
AB33,57.2261,-2.73662
AB34,57.0926,-2.80991
AB35,57.039,-3.14386
AB36,57.1963,-3.07248
AB37,57.33,-3.35323
AB38,57.4854,-3.22728
AB39,56.9795,-2.21565
AB41,57.3717,-2.11699
AB42,57.5016,-1.88823
AB43,57.6578,-2.04476
AB44,57.6682,-2.49306
AB45,57.6522,-2.56716
AB51,57.288,-2.40459
AB52,57.3423,-2.60245
AB53,57.5344,-2.4073
AB54,57.4656,-2.75615
AB55,57.5325,-2.97552
AB56,57.6735,-2.91931
AB99,57.1113,-2.09399
AL1,51.7486,-0.319458
AL2,51.7223,-0.331061
AL3,51.7755,-0.36673
AL4,51.7713,-0.296011
AL5,51.8146,-0.351511
AL6,51.8299,-0.199373
AL7,51.7988,-0.189475
AL8,51.8034,-0.210348
AL9,51.7469,-0.201736
AL10,51.7609,-0.231148
B1,52.4796,-1.90783
B2,52.4863,-1.89732
B3,52.4823,-1.90291
B4,52.4838,-1.89376
B5,52.4721,-1.89687
B6,52.5024,-1.88693
B7,52.4938,-1.87438
B8,52.49,-1.84278
B9,52.4781,-1.85282
B10,52.4701,-1.8533
B11,52.4554,-1.85981
B12,52.461,-1.88256
B13,52.4349,-1.88277
B14,52.4188,-1.89029
B15,52.468,-1.92336
B16,52.4754,-1.93222
B17,52.4615,-1.96294
B18,52.4915,-1.92233
B19,52.4963,-1.90612
B20,52.5134,-1.91883
B21,52.5051,-1.9363
B22,52.4117,-1.92883
B23,52.5276,-1.85156
B24,52.5197,-1.82877
B25,52.4612,-1.82649
B26,52.4607,-1.79265
B27,52.4458,-1.82379
B28,52.428,-1.84315
B29,52.4377,-1.94538
B30,52.4211,-1.9281
B31,52.4091,-1.97327
B32,52.4512,-1.99451
B33,52.4808,-1.78802
B34,52.4957,-1.78169
B35,52.5172,-1.7899
B36,52.5045,-1.78008
B37,52.4784,-1.74179
B38,52.4011,-1.93391
B40,52.4587,-1.72499
B42,52.5347,-1.90412
B43,52.5476,-1.92824
B44,52.545,-1.88564
B45,52.3885,-2.00833
B46,52.5071,-1.69773
B47,52.3887,-1.8811
B48,52.3569,-1.95159
B49,52.2174,-1.86767
B50,52.1696,-1.85664
B60,52.3236,-2.05047
B61,52.3443,-2.0678
B62,52.46,-2.03746
B63,52.453,-2.06734
B64,52.4724,-2.06893
B65,52.4828,-2.04343
B66,52.4937,-1.96586
B67,52.4879,-1.97718
B68,52.48,-2.00181
B69,52.5028,-2.02511
B70,52.5198,-2.00263
B71,52.5348,-1.99021
B72,52.5544,-1.82359
B73,52.5592,-1.83762
B74,52.5824,-1.85724
B75,52.5778,-1.81115
B76,52.5448,-1.78961
B77,52.6204,-1.67149
B78,52.6073,-1.67617
B79,52.6481,-1.6816
B80,52.2779,-1.89699
B90,52.4007,-1.82567
B91,52.414,-1.78078
B92,52.4353,-1.77419
B93,52.3832,-1.74209
B94,52.3528,-1.79136
